,Number of Referrals,Tenure in Months,Offer,Internet Service,Contract,Payment Method,Total Charges,Total Revenue,Customer Status
1837,0,7,Offer E,No,One Year,Credit Card,173.15,286.55,0
1838,0,4,None,Yes,Month-to-Month,Credit Card,324.2,479.16,0
1839,0,71,Offer A,Yes,Two Year,Credit Card,6951.15,9387.38,0
1840,8,58,None,Yes,Two Year,Bank Withdrawal,5780.7,7585.08,0
1841,0,53,None,No,Two Year,Bank Withdrawal,978.0,2206.01,0
1842,5,31,Offer C,Yes,Two Year,Bank Withdrawal,2807.65,4203.93,0
1843,0,1,None,No,Month-to-Month,Credit Card,20.3,49.49,0
1844,0,6,None,Yes,Month-to-Month,Bank Withdrawal,335.65,354.61,0
1845,0,49,None,Yes,Two Year,Bank Withdrawal,3199.0,4069.73,0
1846,0,8,None,Yes,One Year,Bank Withdrawal,469.25,639.41,0
1847,0,22,None,No,One Year,Credit Card,417.0,1173.58,0
1848,0,29,None,Yes,Month-to-Month,Bank Withdrawal,2467.1,3289.83,1
1849,3,61,None,Yes,Month-to-Month,Bank Withdrawal,2117.2,2227.2,0
1850,0,30,None,Yes,Month-to-Month,Credit Card,2758.15,4134.55,1
1851,1,25,None,Yes,Month-to-Month,Bank Withdrawal,2368.4,2949.4,1
1852,0,9,Offer E,Yes,Two Year,Bank Withdrawal,718.55,952.2,0
1853,1,5,None,No,One Year,Bank Withdrawal,99.45,305.5,0
1854,0,9,Offer E,Yes,Month-to-Month,Bank Withdrawal,758.6,1200.86,1
1855,6,65,Offer B,Yes,One Year,Credit Card,7118.9,9806.0,0
1856,0,29,Offer C,Yes,One Year,Bank Withdrawal,2948.6,3199.71,0
1857,0,1,None,No,Month-to-Month,Credit Card,25.75,40.97,0
1858,0,12,Offer D,Yes,Month-to-Month,Credit Card,958.25,1221.41,0
1859,6,55,Offer B,Yes,One Year,Credit Card,5448.6,7713.5,0
1860,0,11,None,Yes,Month-to-Month,Bank Withdrawal,926.25,1420.59,1
1861,4,68,Offer A,No,Two Year,Credit Card,1629.2,3342.12,0
1862,0,34,None,Yes,Month-to-Month,Bank Withdrawal,3540.65,4492.65,0
1863,0,1,None,No,Month-to-Month,Credit Card,20.75,57.03,0
1864,2,36,None,Yes,One Year,Credit Card,1939.35,2227.35,0
1865,9,15,None,No,Two Year,Credit Card,387.9,1088.1,0
1866,0,10,None,Yes,Month-to-Month,Credit Card,524.5,1014.9,0
1867,0,3,None,Yes,Two Year,Credit Card,213.35,321.73,0
1868,0,1,Offer E,No,Month-to-Month,Bank Withdrawal,25.7,69.54,0
1869,10,43,Offer B,Yes,Month-to-Month,Credit Card,3551.65,3879.74,0
1870,0,8,Offer E,No,Month-to-Month,Credit Card,163.6,288.88,0
1871,1,4,Offer E,Yes,Month-to-Month,Bank Withdrawal,181.6,350.12,1
1872,6,71,Offer A,No,Two Year,Bank Withdrawal,1387.45,2532.68,0
1873,0,17,None,Yes,Month-to-Month,Bank Withdrawal,1625.65,1702.32,1
1874,1,6,Offer E,Yes,Month-to-Month,Credit Card,273.25,422.23,0
1875,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,181.7,223.68,1
1876,1,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,49.55,73.79,1
1877,0,64,None,Yes,One Year,Credit Card,6903.1,8453.82,1
1878,0,39,None,Yes,One Year,Bank Withdrawal,2191.7,2191.7,0
1879,9,46,Offer B,Yes,One Year,Credit Card,2560.1,4328.8,0
1880,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,90.75,113.81,1
1881,10,72,Offer A,Yes,Two Year,Bank Withdrawal,5986.55,8711.03,0
1882,0,33,None,No,Two Year,Credit Card,641.35,1054.18,0
1883,0,32,None,Yes,One Year,Bank Withdrawal,3608.0,3755.52,0
1884,0,5,None,No,Month-to-Month,Credit Card,104.3,227.35,0
1885,0,2,None,Yes,Month-to-Month,Bank Withdrawal,85.5,95.5,1
1886,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,184.1,251.88,1
1887,0,17,Offer D,Yes,One Year,Credit Card,1470.05,1488.07,0
1888,0,5,None,No,Month-to-Month,Credit Card,122.0,162.05,0
1889,0,10,Offer D,No,Month-to-Month,Bank Withdrawal,226.55,256.65,0
1890,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,50.15,90.02,0
1891,0,41,Offer B,Yes,One Year,Credit Card,2364.0,3859.27,0
1892,0,63,Offer B,Yes,One Year,Bank Withdrawal,6137.0,6664.94,1
1893,3,22,None,No,One Year,Credit Card,419.9,1477.22,0
1894,0,47,Offer B,Yes,One Year,Bank Withdrawal,4730.6,4845.75,0
1895,0,65,Offer B,Yes,Two Year,Credit Card,4805.65,6250.6,0
1896,0,8,Offer E,Yes,Two Year,Credit Card,908.55,1227.43,0
1897,0,10,Offer D,Yes,Month-to-Month,Bank Withdrawal,930.4,1286.7,1
1898,0,9,None,Yes,Month-to-Month,Bank Withdrawal,714.15,920.07,1
1899,0,35,Offer C,Yes,One Year,Bank Withdrawal,3251.3,4987.65,0
1900,0,2,None,Yes,Month-to-Month,Bank Withdrawal,165.4,178.42,1
1901,1,8,None,Yes,Two Year,Credit Card,371.4,371.4,0
1902,4,24,Offer C,Yes,Month-to-Month,Bank Withdrawal,688.0,688.0,0
1903,0,36,None,Yes,Two Year,Credit Card,1901.25,1901.25,0
1904,1,67,Offer A,Yes,Two Year,Bank Withdrawal,7567.2,8985.11,0
1905,2,15,None,Yes,Month-to-Month,Bank Withdrawal,1258.3,2030.25,1
1906,0,10,None,Yes,Two Year,Bank Withdrawal,619.0,918.5,0
1907,0,1,None,Yes,Month-to-Month,Bank Withdrawal,78.05,117.46,1
1908,1,24,None,Yes,Month-to-Month,Bank Withdrawal,971.3,971.3,1
1909,0,21,None,Yes,Month-to-Month,Credit Card,780.15,780.15,0
1910,0,11,Offer D,Yes,Month-to-Month,Credit Card,601.6,941.87,0
1911,0,50,Offer B,Yes,Month-to-Month,Bank Withdrawal,5222.35,6104.85,0
1912,0,13,Offer D,No,One Year,Mailed Check,270.2,560.23,0
1913,7,64,Offer B,Yes,Two Year,Bank Withdrawal,6997.3,8351.54,0
1914,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,253.8,402.69,0
1915,0,71,None,Yes,One Year,Credit Card,6028.95,8293.14,0
1916,0,9,Offer E,No,Month-to-Month,Bank Withdrawal,238.15,551.26,0
1917,0,1,None,Yes,Month-to-Month,Credit Card,83.4,126.46,0
1918,0,3,None,No,Month-to-Month,Bank Withdrawal,76.95,187.98,0
1919,1,53,None,Yes,One Year,Bank Withdrawal,3184.25,3184.25,1
1920,1,46,None,No,Two Year,Credit Card,927.1,2328.72,0
1921,9,63,Offer B,Yes,Month-to-Month,Credit Card,4896.35,6125.79,0
1922,10,71,Offer A,Yes,Two Year,Credit Card,7616.0,9885.87,0
1923,0,5,Offer E,Yes,One Year,Bank Withdrawal,341.6,389.4,0
1924,9,65,None,No,Two Year,Bank Withdrawal,1748.55,3960.5,0
1925,0,42,None,Yes,Month-to-Month,Bank Withdrawal,4222.95,5301.93,0
1926,0,3,None,Yes,Month-to-Month,Mailed Check,238.1,236.76,0
1927,0,24,None,Yes,Month-to-Month,Bank Withdrawal,1348.5,2070.18,0
1928,0,66,None,No,Two Year,Credit Card,1357.1,2701.54,0
1929,0,25,Offer C,No,Two Year,Credit Card,475.2,823.45,0
1930,9,56,None,Yes,One Year,Credit Card,5608.4,6758.08,0
1931,4,52,None,Yes,One Year,Bank Withdrawal,5376.4,6892.2,0
1932,4,23,None,No,Two Year,Mailed Check,611.45,1436.23,0
1933,10,25,None,No,One Year,Credit Card,733.55,823.55,0
1934,0,32,None,Yes,Month-to-Month,Bank Withdrawal,3334.9,4663.86,0
1935,0,16,None,Yes,Month-to-Month,Bank Withdrawal,762.25,990.41,1
1936,4,23,None,Yes,Two Year,Bank Withdrawal,2130.55,2177.24,0
1937,0,26,Offer C,Yes,One Year,Credit Card,1362.85,1362.85,0
1938,3,49,None,No,One Year,Bank Withdrawal,923.1,2006.0,0
1939,0,1,None,No,Month-to-Month,Credit Card,20.05,27.71,0
1940,0,5,None,Yes,Month-to-Month,Credit Card,331.9,330.77,1
1941,0,50,None,No,Two Year,Credit Card,1023.95,1654.95,0
1942,0,13,Offer D,Yes,Month-to-Month,Credit Card,597.0,597.0,1
1943,9,28,Offer C,No,One Year,Credit Card,543.0,1156.48,0
1944,0,49,None,No,One Year,Credit Card,921.3,3157.66,0
1945,0,18,None,Yes,Month-to-Month,Bank Withdrawal,1679.4,1774.31,0
1946,8,72,Offer A,Yes,Two Year,Bank Withdrawal,5025.85,7833.13,0
1947,0,37,None,Yes,Month-to-Month,Bank Withdrawal,3314.15,3373.35,0
1948,10,7,Offer E,Yes,One Year,Bank Withdrawal,220.45,208.62,0
1949,4,45,Offer B,Yes,Month-to-Month,Bank Withdrawal,3775.85,3847.4,0
1950,0,19,None,Yes,Month-to-Month,Bank Withdrawal,865.85,1404.18,0
1951,0,29,None,No,One Year,Credit Card,572.2,1909.68,0
1952,3,61,Offer B,Yes,One Year,Credit Card,6449.15,9077.03,0
1953,0,4,Offer E,Yes,Month-to-Month,Bank Withdrawal,199.75,335.47,0
1954,0,38,Offer C,Yes,Month-to-Month,Bank Withdrawal,3988.5,5038.6,0
1955,0,2,Offer E,No,Month-to-Month,Bank Withdrawal,57.4,111.2,0
1956,0,1,None,Yes,Month-to-Month,Credit Card,45.05,93.08,1
1957,0,15,Offer D,Yes,One Year,Credit Card,693.45,677.18,0
1958,0,71,Offer A,Yes,Two Year,Bank Withdrawal,7532.15,11040.97,1
1959,1,52,None,Yes,Month-to-Month,Bank Withdrawal,4348.65,6343.89,1
1960,0,2,Offer E,No,Month-to-Month,Mailed Check,38.7,88.12,1
1961,1,24,Offer C,Yes,Month-to-Month,Bank Withdrawal,2231.05,2617.45,1
1962,0,43,Offer B,Yes,Month-to-Month,Credit Card,3161.4,4006.78,0
1963,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,80.35,149.73,1
1964,0,24,Offer C,Yes,Month-to-Month,Mailed Check,1218.25,1307.53,0
1965,0,41,None,Yes,Month-to-Month,Bank Withdrawal,4259.3,5175.38,1
1966,1,14,None,Yes,Month-to-Month,Bank Withdrawal,1258.6,1667.12,1
1967,9,64,None,Yes,Two Year,Credit Card,4378.8,5869.36,0
1968,1,72,Offer A,No,Two Year,Credit Card,1363.25,4927.25,0
1969,0,27,None,Yes,Month-to-Month,Mailed Check,1439.35,1474.72,0
1970,0,35,None,Yes,One Year,Bank Withdrawal,2471.25,2577.65,0
1971,0,1,None,Yes,Month-to-Month,Credit Card,59.55,100.94,0
1972,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,68.65,81.05,1
1973,0,43,None,Yes,Month-to-Month,Mailed Check,3856.75,5538.91,1
1974,1,53,None,Yes,One Year,Credit Card,5016.25,6592.17,0
1975,0,17,None,Yes,One Year,Mailed Check,937.5,1350.77,1
1976,0,20,Offer D,Yes,Month-to-Month,Credit Card,1727.5,2313.3,1
1977,0,6,None,No,One Year,Credit Card,124.4,187.64,0
1978,0,1,None,Yes,Month-to-Month,Bank Withdrawal,24.7,24.7,0
1979,0,61,None,Yes,Two Year,Bank Withdrawal,5308.7,6739.15,0
1980,0,4,None,Yes,Month-to-Month,Bank Withdrawal,346.2,539.6,1
1981,0,1,None,No,Month-to-Month,Credit Card,19.55,60.18,0
1982,0,1,None,Yes,Month-to-Month,Bank Withdrawal,80.5,116.27,1
1983,1,68,Offer A,Yes,One Year,Bank Withdrawal,5733.4,6770.33,0
1984,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,79.25,99.23,1
1985,0,2,None,Yes,Month-to-Month,Credit Card,155.8,166.44,1
1986,0,45,Offer B,Yes,Month-to-Month,Credit Card,4016.85,4607.62,1
1987,1,40,Offer B,Yes,Month-to-Month,Bank Withdrawal,3303.05,3384.25,1
1988,0,34,None,Yes,Month-to-Month,Bank Withdrawal,3634.8,3730.68,0
1989,0,13,None,Yes,Month-to-Month,Bank Withdrawal,1215.65,1595.38,0
1990,0,1,Offer E,No,Month-to-Month,Credit Card,20.25,30.96,1
1991,6,35,None,Yes,One Year,Credit Card,1383.6,1383.6,0
1992,7,35,None,No,One Year,Bank Withdrawal,666.0,1514.05,0
1993,5,72,None,Yes,Two Year,Credit Card,7550.3,9602.3,0
1994,1,2,Offer E,Yes,Two Year,Bank Withdrawal,140.1,154.68,0
1995,0,12,None,No,Month-to-Month,Bank Withdrawal,227.45,657.17,0
1996,4,69,Offer A,Yes,Two Year,Bank Withdrawal,5388.15,8446.92,0
1997,0,57,None,Yes,Two Year,Bank Withdrawal,5913.95,7833.1,0
1998,4,35,Offer C,Yes,Month-to-Month,Bank Withdrawal,2416.55,2861.6,1
1999,9,69,None,Yes,Two Year,Bank Withdrawal,6194.1,8012.25,0
2000,1,63,None,Yes,One Year,Bank Withdrawal,6873.75,7055.34,1
2001,0,41,None,Yes,Month-to-Month,Bank Withdrawal,1841.9,3438.44,0
2002,5,47,None,No,Two Year,Bank Withdrawal,1041.8,1227.45,0
2003,1,72,None,Yes,One Year,Bank Withdrawal,8684.8,11195.44,1
2004,0,59,Offer B,Yes,One Year,Credit Card,4786.1,4900.56,0
2005,5,18,None,No,Two Year,Credit Card,309.25,669.25,0
2006,1,25,Offer C,Yes,Month-to-Month,Bank Withdrawal,853.0,853.0,1
2007,5,40,Offer B,Yes,One Year,Bank Withdrawal,3132.75,3651.55,0
2008,0,2,None,Yes,Month-to-Month,Bank Withdrawal,146.65,179.03,0
2009,1,21,None,Yes,One Year,Bank Withdrawal,1157.05,1167.05,1
2010,10,68,Offer A,Yes,One Year,Credit Card,6770.5,9124.66,0
2011,2,70,Offer A,No,Two Year,Credit Card,1462.05,2575.05,0
2012,1,1,None,Yes,Month-to-Month,Bank Withdrawal,44.55,85.65,0
2013,8,72,Offer A,Yes,Two Year,Bank Withdrawal,6052.25,7215.05,0
2014,9,2,None,Yes,Month-to-Month,Credit Card,154.8,169.78,0
2015,7,11,None,No,One Year,Credit Card,233.9,255.02,0
2016,9,56,None,No,Two Year,Credit Card,1468.9,3096.26,0
2017,0,36,Offer C,Yes,Month-to-Month,Bank Withdrawal,1267.2,1267.2,0
2018,0,37,None,Yes,One Year,Bank Withdrawal,3358.65,4996.93,0
2019,3,39,None,Yes,Month-to-Month,Bank Withdrawal,2184.35,2184.35,1
2020,0,18,Offer D,Yes,Month-to-Month,Credit Card,1406.65,2146.09,0
2021,0,19,None,Yes,Month-to-Month,Bank Withdrawal,1651.95,1819.55,0
2022,0,4,None,Yes,Month-to-Month,Bank Withdrawal,333.6,429.96,1
2023,10,1,None,Yes,Month-to-Month,Credit Card,69.95,81.4,0
2024,0,38,None,Yes,Two Year,Bank Withdrawal,3147.15,3252.13,0
2025,5,10,Offer E,No,One Year,Credit Card,197.54,659.84,0
2026,7,56,None,Yes,One Year,Bank Withdrawal,5514.95,8141.35,0
2027,0,30,Offer C,Yes,One Year,Credit Card,2038.7,2717.9,0
2028,1,72,Offer A,Yes,Two Year,Credit Card,6501.35,8562.71,0
2029,0,8,None,No,One Year,Bank Withdrawal,140.95,183.11,0
2030,1,53,Offer B,Yes,Two Year,Bank Withdrawal,5566.4,7069.48,0
2031,1,46,Offer B,Yes,One Year,Bank Withdrawal,4312.5,4778.48,0
2032,0,6,Offer E,No,Month-to-Month,Credit Card,112.75,159.07,0
2033,1,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,777.3,1087.94,1
2034,1,56,None,Yes,One Year,Bank Withdrawal,5508.35,6731.31,1
2035,0,31,Offer C,Yes,Month-to-Month,Credit Card,1994.3,3079.64,1
2036,0,13,None,Yes,Month-to-Month,Bank Withdrawal,788.35,1437.05,0
2037,6,40,Offer B,Yes,Month-to-Month,Credit Card,4469.1,4929.1,0
2038,0,59,None,Yes,One Year,Bank Withdrawal,5483.9,6643.16,0
2039,7,50,None,Yes,One Year,Credit Card,5153.5,7527.5,0
2040,0,2,None,Yes,Month-to-Month,Credit Card,36.55,36.55,1
2041,0,46,Offer B,Yes,Two Year,Mailed Check,3593.8,5747.98,0
2042,0,18,Offer D,Yes,Month-to-Month,Bank Withdrawal,1166.7,1930.8,0
2043,0,35,Offer C,Yes,Month-to-Month,Credit Card,1175.85,1205.85,0
2044,0,1,None,Yes,Month-to-Month,Credit Card,50.6,62.46,1
2045,0,4,None,Yes,Month-to-Month,Credit Card,332.45,501.77,1
2046,0,5,None,Yes,Month-to-Month,Bank Withdrawal,424.15,606.75,1
2047,7,69,None,Yes,Two Year,Credit Card,4254.1,7045.82,0
2048,1,17,None,Yes,Month-to-Month,Bank Withdrawal,1400.85,1683.22,1
2049,0,1,None,No,Month-to-Month,Bank Withdrawal,20.2,63.72,1
2050,1,24,None,Yes,Month-to-Month,Bank Withdrawal,1772.25,1821.45,1
2051,0,62,None,Yes,One Year,Bank Withdrawal,4959.15,6169.39,0
2052,0,12,None,Yes,Month-to-Month,Bank Withdrawal,518.9,652.34,1
2053,0,23,None,No,Month-to-Month,Bank Withdrawal,473.9,1286.26,0
2054,10,45,Offer B,Yes,Month-to-Month,Bank Withdrawal,2333.85,2333.85,0
2055,0,9,None,Yes,Month-to-Month,Credit Card,781.4,1226.82,0
2056,3,4,None,Yes,Month-to-Month,Bank Withdrawal,307.4,437.12,1
2057,0,24,None,Yes,Month-to-Month,Bank Withdrawal,2107.15,2335.87,0
2058,2,71,Offer A,No,Two Year,Credit Card,1801.9,3556.31,0
2059,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,98.5,111.44,1
2060,9,1,None,No,One Year,Mailed Check,18.8,62.37,0
2061,0,10,None,Yes,Month-to-Month,Bank Withdrawal,1060.2,1512.3,1
2062,0,2,None,Yes,Month-to-Month,Bank Withdrawal,96.8,96.8,0
2063,0,67,Offer A,Yes,One Year,Credit Card,3870.0,6281.33,0
2064,1,7,None,Yes,One Year,Bank Withdrawal,477.05,609.42,0
2065,0,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,995.35,1544.55,0
2066,0,57,None,Yes,One Year,Bank Withdrawal,5468.95,7688.53,0
2067,0,36,Offer C,Yes,Month-to-Month,Credit Card,3301.05,3690.81,0
2068,0,66,None,Yes,Two Year,Credit Card,5965.95,6842.43,0
2069,0,22,Offer D,Yes,Month-to-Month,Credit Card,1253.5,1974.0,0
2070,1,17,Offer D,Yes,Month-to-Month,Bank Withdrawal,1607.2,2045.63,1
2071,0,1,None,Yes,Month-to-Month,Credit Card,74.45,114.06,1
2072,1,11,Offer D,Yes,Month-to-Month,Bank Withdrawal,1078.9,1361.27,1
2073,1,2,None,Yes,Month-to-Month,Bank Withdrawal,145.4,162.4,1
2074,0,3,None,Yes,Month-to-Month,Bank Withdrawal,293.15,344.18,0
2075,0,4,None,Yes,Month-to-Month,Bank Withdrawal,321.9,350.94,1
2076,9,69,Offer A,No,Two Year,Bank Withdrawal,1375.4,1739.03,0
2077,6,72,Offer A,Yes,Two Year,Credit Card,7732.65,10052.49,0
2078,0,23,Offer D,Yes,Month-to-Month,Bank Withdrawal,2341.55,2758.31,0
2079,5,40,Offer B,Yes,Month-to-Month,Bank Withdrawal,3015.75,3570.15,0
2080,0,70,None,Yes,Two Year,Credit Card,5991.05,7176.15,0
2081,10,70,None,Yes,Two Year,Bank Withdrawal,6470.1,9165.1,0
2082,0,3,Offer E,Yes,One Year,Bank Withdrawal,220.45,338.98,0
2083,0,69,Offer A,Yes,Two Year,Credit Card,7430.75,7801.58,0
2084,0,6,Offer E,Yes,Month-to-Month,Bank Withdrawal,573.3,860.82,1
2085,0,72,None,Yes,Two Year,Bank Withdrawal,6632.75,9902.27,0
2086,1,67,Offer A,Yes,Two Year,Bank Withdrawal,5883.85,6098.25,0
2087,1,40,None,Yes,One Year,Credit Card,4062.2,4852.6,1
2088,1,19,None,No,Two Year,Bank Withdrawal,467.7,1067.72,0
2089,0,70,Offer A,Yes,Two Year,Mailed Check,2799.75,2799.75,0
2090,0,21,None,Yes,Two Year,Credit Card,1524.85,2012.29,0
2091,1,32,Offer C,Yes,Month-to-Month,Bank Withdrawal,3351.55,4710.14,1
2092,1,29,Offer C,Yes,Month-to-Month,Bank Withdrawal,2964.8,4396.24,0
2093,0,29,Offer C,Yes,Month-to-Month,Bank Withdrawal,1993.25,2468.27,0
2094,0,25,None,Yes,Month-to-Month,Bank Withdrawal,2395.7,3220.95,0
2095,0,55,Offer B,Yes,Month-to-Month,Bank Withdrawal,5617.75,6108.9,1
2096,4,55,Offer B,Yes,Month-to-Month,Credit Card,5676.65,7527.95,0
2097,0,2,None,Yes,Month-to-Month,Bank Withdrawal,193.8,279.58,1
2098,0,2,None,No,Month-to-Month,Bank Withdrawal,39.85,67.63,0
2099,0,62,Offer B,Yes,One Year,Bank Withdrawal,6125.4,7529.08,1
2100,0,19,Offer D,No,Month-to-Month,Bank Withdrawal,377.55,835.45,0
2101,7,7,None,No,Month-to-Month,Credit Card,158.95,194.02,0
2102,10,29,None,Yes,Month-to-Month,Credit Card,2263.4,2360.55,0
2103,4,29,Offer C,Yes,Month-to-Month,Credit Card,1009.25,1009.25,0
2104,0,12,Offer D,Yes,Month-to-Month,Bank Withdrawal,858.6,1079.16,1
2105,0,50,Offer B,Yes,One Year,Credit Card,3478.15,5354.15,0
2106,6,67,None,Yes,Two Year,Bank Withdrawal,7530.8,10275.12,0
2107,1,33,None,Yes,Month-to-Month,Credit Card,2745.7,3218.92,1
2108,3,37,Offer C,Yes,One Year,Bank Withdrawal,2658.8,2700.24,0
2109,5,64,Offer B,No,Two Year,Credit Card,1584.8,2020.64,0
2110,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,89.9,122.75,1
2111,0,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,572.45,665.09,0
2112,0,9,Offer E,Yes,Month-to-Month,Mailed Check,431.0,466.92,1
2113,0,1,None,No,Month-to-Month,Credit Card,20.05,38.2,0
2114,1,48,None,Yes,One Year,Mailed Check,1604.5,1604.5,1
2115,0,38,None,Yes,Month-to-Month,Bank Withdrawal,2522.4,3287.72,0
2116,0,3,None,No,Month-to-Month,Bank Withdrawal,50.6,105.89,0
2117,0,32,Offer C,No,Month-to-Month,Bank Withdrawal,601.55,1098.51,0
2118,0,3,None,Yes,Month-to-Month,Credit Card,196.9,264.37,0
2119,0,10,None,Yes,Month-to-Month,Bank Withdrawal,953.45,1386.05,1
2120,0,1,Offer E,Yes,Month-to-Month,Credit Card,85.8,120.27,1
2121,5,3,None,Yes,Month-to-Month,Bank Withdrawal,292.85,382.63,1
2122,0,3,None,Yes,Month-to-Month,Credit Card,113.95,113.95,0
2123,10,56,Offer B,Yes,Two Year,Credit Card,4620.4,6070.8,0
2124,0,9,Offer E,Yes,Month-to-Month,Mailed Check,190.1,190.1,0
2125,0,53,None,Yes,Month-to-Month,Credit Card,4003.85,4891.07,0
2126,0,63,Offer B,Yes,One Year,Credit Card,3503.5,5228.44,0
2127,0,35,None,Yes,Two Year,Credit Card,1924.1,2637.75,0
2128,1,41,Offer B,Yes,One Year,Bank Withdrawal,4213.35,6056.65,1
2129,0,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,331.85,283.26,0
2130,8,14,Offer D,Yes,Month-to-Month,Credit Card,944.65,986.09,0
2131,0,14,Offer D,No,Month-to-Month,Credit Card,283.75,892.75,0
2132,9,51,None,Yes,Month-to-Month,Bank Withdrawal,4539.35,5928.08,0
2133,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,55.4,68.41,1
2134,0,1,Offer E,Yes,Month-to-Month,Credit Card,69.95,82.99,1
2135,9,68,None,Yes,One Year,Bank Withdrawal,3848.8,6914.52,0
2136,0,1,None,Yes,Month-to-Month,Bank Withdrawal,88.8,148.4,1
2137,0,1,None,Yes,One Year,Credit Card,25.85,25.85,0
2138,0,60,None,Yes,Two Year,Bank Withdrawal,5941.05,6949.65,0
2139,0,7,None,Yes,Month-to-Month,Credit Card,545.15,771.95,1
2140,1,23,Offer D,No,Two Year,Bank Withdrawal,478.75,1389.32,0
2141,10,72,Offer A,Yes,Two Year,Bank Withdrawal,5815.15,9302.83,0
2142,1,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,248.4,348.3,0
2143,0,5,None,Yes,Month-to-Month,Bank Withdrawal,357.75,592.15,1
2144,9,6,None,No,Month-to-Month,Credit Card,113.5,146.62,0
2145,7,13,None,No,Two Year,Bank Withdrawal,246.7,319.24,0
2146,0,47,Offer B,No,One Year,Bank Withdrawal,942.95,2973.35,0
2147,1,3,Offer E,Yes,Month-to-Month,Credit Card,94.4,94.4,0
2148,8,14,None,No,One Year,Credit Card,228.65,869.29,0
2149,10,23,None,Yes,Two Year,Bank Withdrawal,1759.4,2518.86,0
2150,8,72,Offer A,Yes,Two Year,Bank Withdrawal,6474.4,9701.28,0
2151,0,1,Offer E,Yes,Month-to-Month,Credit Card,43.95,78.43,1
2152,0,66,Offer A,Yes,Month-to-Month,Bank Withdrawal,6595.0,9442.24,0
2153,3,53,Offer B,No,Two Year,Credit Card,1336.1,3064.16,0
2154,0,11,Offer D,Yes,Month-to-Month,Bank Withdrawal,929.3,1039.96,0
2155,0,61,None,Yes,Two Year,Credit Card,6876.05,7353.07,1
2156,0,2,None,Yes,Month-to-Month,Bank Withdrawal,134.6,164.36,0
2157,0,1,None,No,Month-to-Month,Credit Card,20.3,24.39,0
2158,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,35.45,35.45,1
2159,1,67,Offer A,Yes,One Year,Bank Withdrawal,5918.8,7821.6,1
2160,0,18,None,Yes,Month-to-Month,Credit Card,1387.0,1465.84,0
2161,1,18,None,Yes,Month-to-Month,Bank Withdrawal,1691.9,2306.96,0
2162,0,12,Offer D,Yes,Month-to-Month,Bank Withdrawal,947.3,1457.9,1
2163,5,27,Offer C,Yes,Month-to-Month,Bank Withdrawal,2867.75,3142.88,1
2164,5,61,Offer B,Yes,One Year,Credit Card,6018.65,7222.51,0
2165,1,65,None,Yes,Two Year,Bank Withdrawal,7082.85,8882.7,0
2166,0,41,Offer B,No,Two Year,Mailed Check,810.3,1223.99,0
2167,10,19,Offer D,Yes,Month-to-Month,Credit Card,910.45,1210.38,0
2168,0,2,Offer E,Yes,Month-to-Month,Credit Card,91.1,160.5,1
2169,3,2,None,Yes,Month-to-Month,Credit Card,156.35,204.73,1
2170,1,4,None,No,Month-to-Month,Bank Withdrawal,82.9,197.1,0
2171,6,25,Offer C,Yes,Month-to-Month,Bank Withdrawal,1296.8,2246.05,0
2172,1,60,Offer B,Yes,One Year,Bank Withdrawal,5453.4,7448.4,1
2173,0,8,Offer E,Yes,Month-to-Month,Credit Card,627.4,838.68,1
2174,3,72,Offer A,Yes,Two Year,Credit Card,5899.85,7103.69,0
2175,0,5,None,Yes,Month-to-Month,Credit Card,274.35,480.8,0
2176,0,10,None,No,Two Year,Credit Card,202.5,334.1,0
2177,1,59,None,Yes,One Year,Credit Card,4639.45,6385.85,0
2178,8,68,Offer A,No,Two Year,Credit Card,1911.5,3075.66,0
2179,7,54,Offer B,No,Two Year,Bank Withdrawal,1230.9,3476.22,0
2180,0,22,Offer D,No,One Year,Credit Card,467.15,973.81,0
2181,6,49,None,Yes,Month-to-Month,Credit Card,2583.75,4026.33,0
2182,6,51,None,Yes,Month-to-Month,Bank Withdrawal,4018.55,4147.58,0
2183,4,19,Offer D,No,Two Year,Credit Card,485.9,1216.07,0
2184,0,2,None,Yes,Month-to-Month,Credit Card,188.1,198.7,0
2185,9,14,None,No,One Year,Mailed Check,294.5,560.92,0
2186,1,57,None,Yes,Month-to-Month,Bank Withdrawal,2572.95,2560.88,1
